tt1971332,Untitled Ben 10 Project,NA,NA,Action,NA,Ryan Engle,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,5
tt1971334,Big Dream Little Bears (2011),2011,52,Documentary,NA,Howard Jackson,Audrey Low,NA,NA," 3,878,345
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971340,Boyfriend (2007),2007,60,NA,NA,Sarawut Intaraprom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971341,Buddy Guy Live! (1996),1996,NA,Music,NA,Michael Oblowitz,Buddy Guy,NA,NA," 67,177
",NA,NA,NA,14,NA,27,NA,NA,NA,NA
tt1971348,Charlie Louvin: Still Rattlin' the Devil's Cage (2011),2011,48,Documentary,NA,Brian Steege,Emmylou Harris,George Jones,Alison Krauss," 24,038
"," 39,953
"," 29,904
",5,59,65,1,NA,NA,38,NA
tt1971351,Codgers (2011),2011,84,Comedy,"
AUD?50K
(estimated)
",Wayne Harrison,Ronald Falk,Ron Haddrick,Edwin Hodgeman," 26,630
"," 138,865
"," 65,985
",1,53,2,NA,8.4,7,5,NA
tt1971352,Compliance (2012),2012,90,Biography,"
$270K
(estimated)
",Craig Zobel,Ann Dowd,Matt Servitto,Dreama Walker," 2,475
"," 13,238
"," 3,154
","9,066",221,613,26,6.4,"26,459",98,26
tt1971354,Consciousness (2010),2010,109,Crime,"
$30K
(estimated)
",Masaya Uenoyama,Robert T. Bruce,Frank Cordek,Mike Dalager," 1,131,569
"," 3,098,429
"," 260,785
",NA,NA,NA,NA,NA,NA,3,NA
tt1971358,Crimson Circle (2011),2011,NA,Drama,NA,Francisco Ramirez,Denene Davidovich,Ryan de Quintal,Patrick Gorman," 2,403,805
"," 64,806
"," 15,027
",1,NA,18,1,7.8,6,"4,844",NA
tt1971365,Dangerous Ishq (2012),2012,130,Romance,NA,Vikram Bhatt,Karisma Kapoor,Jimmy Shergill,Divya Dutta," 19,526
"," 23,648
"," 27,446
",82,354,324,27,4,713,86,27
tt1971367,Danziger Studios: The Untold Elstree story (2011),2011,119,Documentary,NA,Derek Pykett,Geoffrey Bayldon,Brian Clemens,Brian Cobby," 25,991
"," 64,650
"," 258,714
",2,594,46,4,NA,NA,3,4
tt1971368,Dating Deidra,NA,NA,NA,NA,Shira Dillon,Zacerous LaRue Jones,Shira Dillon,Anthony L. Smith," 268,354
"," 702,697
"," 5,533,349
",NA,NA,NA,1,NA,NA,NA,1
tt1971369,Dead Dad (2012),2012,82,Comedy,NA,Ken J. Adachi,Kyle Arrington,Jenni Melear,Lucas Kwan Peterson," 211,456
"," 98,175
"," 52,943
",64,NA,55,NA,7.4,89,6,NA
tt1971371,Dia de Preto (2012),2012,90,Adventure,"
$600K
(estimated)
",Marcos Felipe,Paulo Abreu,Guilherme Almeida,Deivid Ara?jo," 1,017,830
"," 3,132,552
"," 5,794,084
",2,NA,NA,NA,5,20,NA,NA
tt1971372,Die B?rgschaft 2.0 (2011),2011,NA,Drama,"
��1K
(estimated)
",Marcelo Kehler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971379,Dracula Meets Stoker (2012),2012,NA,Documentary,NA,Dacre Stoker,Dacre Stoker,NA,NA," 631,369
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971380,Duck! (A Duckumentary) (2011),2011,61,Documentary,"
$9K
(estimated)
",Danny Ledonne,Robert Bealle,Noni Beck,Michael Blenden," 2,612,008
"," 4,252,765
"," 3,475,597
",1,NA,NA,NA,NA,NA,NA,NA
tt1971382,Days of Power (2011),2011,110,Drama,NA,Rom?n Chalbaud,Gustavo Camacho,Theylor Plaza,Paula Woyzechowsky," 1,019,804
"," 1,453,105
"," 3,639,903
",NA,NA,NA,NA,4.7,18,NA,1
tt1971385,Mein verr?cktes Jahr in Bangkok (2011),2011,90,Comedy,NA,Sigi Rothemund,Brahim Achabbakhe,Martin Armknecht,Hannah Heile," 38,271
"," 280,257
"," 3,891,816
",NA,NA,NA,5,4,26,NA,NA
tt1971393,Ever After (Reloaded) (2011),2011,92,Action,NA,Fernando A. Mico,Fernando A. Mico,Paya Bruneau,Jay Edwards," 656,235
"," 2,782,420
"," 7,049,678
",1,NA,NA,NA,6.4,10,NA,NA
tt1971397,Favor (2013),2013,102,Thriller,NA,Paul Osborne,Blayne Weaver,Patrick Day,Jeffrey Combs," 33,942
"," 47,907
"," 3,424
",223,80,58,4,6.3,731,945,4
tt1971401,For the Future of a Child (2005),2005,NA,Documentary,"
$100
(estimated)
",Antoine Trebouta,Evyh Cerhus,NA,NA," 120,819
",NA,NA,NA,1,NA,NA,NA,NA,NA,1
tt1971403,General Education (2012),2012,94,Comedy,NA,Tom Morris,Chris Sheffield,Maiara Walsh,Sam Ayers," 16,292
"," 4,629
"," 180,476
",308,116,570,5,4.4,693,616,NA
tt1971414,Homer and Penelope (2013),2013,94,NA,NA,Danny Powell,Joe Feldman-Barros,Claire Duncan,Annika Cowles," 243,839
"," 363,755
"," 1,191,228
",NA,NA,NA,NA,6.4,5,7,NA
tt1971433,K.364: A Journey by Train (2010),2010,68,Documentary,"
��200
(estimated)
",Douglas Gordon,Agnieszka Duczmal,Avri Levitan,Roi Shiloah," 3,479,787
"," 2,088,205
"," 2,275,563
",NA,NA,NA,2,7,5,NA,NA
tt1971434,"Kaitlin, Friends and Loves! (2010)",2010,NA,Comedy,NA,Jermie McOwen,Katherine Backers,Kristine Crowles,Consuelo Desde," 2,567,325
"," 2,275,380
"," 4,500,356
",NA,NA,NA,NA,NA,NA,NA,NA
tt1971436,"Kathryn, the Story of a Teller (2004)",2004,88,Documentary,NA,Norton Dill,Kathryn Tucker Windham,NA,NA," 2,265,766
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971443,Koi no highway (1967),1967,88,NA,NA,Buichi Sait?,Katsutoshi Atarashi,Michiko Hagi,Tatsuya Hamaguchi," 917,101
"," 6,863,770
"," 629,961
",NA,NA,NA,4,NA,NA,NA,NA
tt1971445,L'orogenesi (2011),2011,51,Documentary,NA,Caldwell Lever,Giorgio Albertazzi,NA,NA," 81,857
",NA,NA,NA,9,NA,NA,NA,NA,NA,NA
tt1971448,La Propia Gente (1981),1981,80,Documentary,NA,Carlos Azp?rua,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
tt1971455,Lech L'cha (2010),2010,21,Documentary,NA,Rachel Rood,NA,NA,NA,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA
tt1971458,Smugglers' Songs (2011),2011,97,Adventure,NA,Rabah Ameur-Za?meche,Jacques Nolot,Christian Milia-Darmezin,Kenji Levan," 168,030
"," 1,373,876
"," 5,515,877
",2,NA,NA,NA,6.2,85,NA,NA
tt1971459,Lesser Evil,NA,NA,Crime,NA,W. Blake Herron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971461,Lincz (2010),2010,118,Drama,NA,Krzysztof Lukaszewicz,Leszek Lichota,Agnieszka Podsiadlik,Wieslaw Komasa," 163,327
"," 121,572
"," 425,282
",NA,NA,NA,NA,6.5,537,1,NA
tt1971462,Little Thief (2011),2011,93,Drama,NA,Christopher Robin Collins,Young-Su Lee,Madeline Lucre,Shalane Connors," 1,160,336
"," 6,240,394
"," 5,063,814
",NA,NA,NA,NA,NA,NA,NA,NA
tt1971466,"Leafie, a Hen Into the Wild (2011)",2011,93,Animation,NA,Seong-yun Oh,So-ri Moon,Seung-ho Yoo,Min-sik Choi," 36,407
"," 44,773
"," 6,811
",175,11,14,NA,7.2,641,723,NA
tt1971467,Malakas! Using ABCD for the Design of Sustainable Cities (2010),2010,41,Documentary,NA,Jeannette Tramhel,Jeannette Tramhel,NA,NA," 7,305,672
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971486,Objetivo Braila (2010),2010,80,Documentary,NA,Jos? Antonio Quir?s,Manuel Gonz?lez,NA,NA," 3,207,037
",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
tt1971488,On/Off (2011),2011,87,Drama,NA,Mario Marasco,Antonella Alessandro,Laura Ambesi,Pino Ammendola," 3,167,431
"," 4,247,028
"," 224,475
",1,NA,NA,NA,NA,NA,12,NA
tt1971490,One Hundred Dollar Wife (1970),1970,53,Drama,NA,Michael Downing,Michael Downing,Orrin North,Fran Spector," 5,383,264
"," 816,129
"," 206,746
",NA,NA,NA,NA,NA,NA,NA,NA
tt1971508,Rockabilly Ruhrpott (2010),2010,63,Documentary,NA,Claudia Bach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,5,NA,NA
tt1971510,Roll Call (2011),2011,95,Comedy,"
$500K
(estimated)
",Bill Morroni,Steve Jones Watson,Emily Hache,Al Burke," 6,208,879
"," 753,709
"," 83,000
",12,NA,1,8,7.4,7,53,8
tt1971514,Salvo (2013),2013,110,Crime,NA,Fabio Grassadonia,Saleh Bakri,Luigi Lo Cascio,Sara Serraiocco," 48,687
"," 61,369
"," 34,429
",197,53,34,NA,6,941,4,NA
tt1971515,Sanatorio (2003),2003,NA,NA,NA,Vasileia Magaraki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971517,"Secrets, Dreams, Faith and Wonder (2014)",2014,78,Animation,NA,Stephen Pope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971524,Silken Synergy (2010),2010,72,Documentary,NA,Soniya Kirpalani,Bibi Russell,NA,NA," 549,233
",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
